2025-08-02 09:13:56 INFO  LoadProperties:74 - Configuration loaded successfully from: src/main/resources/config.properties
2025-08-02 09:13:59 INFO  GenericWrapper:62 - Chrome browser launched successfully.
2025-08-02 09:13:59 INFO  GenericWrapper:97 - Browser window maximized.
2025-08-02 09:14:01 INFO  GenericWrapper:106 - Opened URL: https://bugbash.syook.com/
2025-08-02 09:14:01 INFO  GenericWrapper:142 - Entered text 'user@example.com' into element: [[ChromeDriver: chrome on windows (8691f22d8ccecc92bb0b5df9ce9eab40)] -> xpath: //input[@id='email']]
2025-08-02 09:14:02 INFO  GenericWrapper:142 - Entered text 'MacBook' into element: [[ChromeDriver: chrome on windows (8691f22d8ccecc92bb0b5df9ce9eab40)] -> xpath: //input[@placeholder='Search products...']]
2025-08-02 09:14:13 INFO  GenericWrapper:181 - Clicked element using JS: [[ChromeDriver: chrome on windows (8691f22d8ccecc92bb0b5df9ce9eab40)] -> xpath: //button[normalize-space()='Checkout']]
2025-08-02 09:14:13 INFO  GenericWrapper:116 - Browser closed successfully.
2025-08-02 09:14:14 INFO  GenericWrapper:62 - Chrome browser launched successfully.
2025-08-02 09:14:14 INFO  GenericWrapper:97 - Browser window maximized.
2025-08-02 09:14:15 INFO  GenericWrapper:106 - Opened URL: https://bugbash.syook.com/
2025-08-02 09:14:15 INFO  GenericWrapper:142 - Entered text 'guest@demo.com' into element: [[ChromeDriver: chrome on windows (826c1eab66bdb565e252afb15fd4926e)] -> xpath: //input[@id='email']]
2025-08-02 09:14:16 INFO  GenericWrapper:142 - Entered text 'iPhone' into element: [[ChromeDriver: chrome on windows (826c1eab66bdb565e252afb15fd4926e)] -> xpath: //input[@placeholder='Search products...']]
2025-08-02 09:14:27 INFO  GenericWrapper:181 - Clicked element using JS: [[ChromeDriver: chrome on windows (826c1eab66bdb565e252afb15fd4926e)] -> xpath: //button[normalize-space()='Checkout']]
2025-08-02 09:14:27 INFO  GenericWrapper:116 - Browser closed successfully.
2025-08-02 09:18:58 INFO  LoadProperties:74 - Configuration loaded successfully from: src/main/resources/config.properties
2025-08-02 09:19:00 INFO  GenericWrapper:62 - Chrome browser launched successfully.
2025-08-02 09:19:00 INFO  GenericWrapper:97 - Browser window maximized.
2025-08-02 09:19:01 INFO  GenericWrapper:106 - Opened URL: https://bugbash.syook.com/
2025-08-02 09:19:01 INFO  GenericWrapper:142 - Entered text 'user@example.com' into element: [[ChromeDriver: chrome on windows (88cb6e70f0442ba109f30ce3484b5edf)] -> xpath: //input[@id='email']]
2025-08-02 09:19:02 INFO  GenericWrapper:142 - Entered text 'MacBook' into element: [[ChromeDriver: chrome on windows (88cb6e70f0442ba109f30ce3484b5edf)] -> xpath: //input[@placeholder='Search products...']]
2025-08-02 09:19:13 INFO  GenericWrapper:181 - Clicked element using JS: [[ChromeDriver: chrome on windows (88cb6e70f0442ba109f30ce3484b5edf)] -> xpath: //button[normalize-space()='Checkout']]
2025-08-02 09:19:13 INFO  GenericWrapper:116 - Browser closed successfully.
2025-08-02 09:19:14 INFO  GenericWrapper:62 - Chrome browser launched successfully.
2025-08-02 09:19:14 INFO  GenericWrapper:97 - Browser window maximized.
2025-08-02 09:19:15 INFO  GenericWrapper:106 - Opened URL: https://bugbash.syook.com/
2025-08-02 09:19:15 INFO  GenericWrapper:142 - Entered text 'guest@demo.com' into element: [[ChromeDriver: chrome on windows (cdf0f29412cc5f13f349661091e8844b)] -> xpath: //input[@id='email']]
2025-08-02 09:19:16 INFO  GenericWrapper:142 - Entered text 'iPhone' into element: [[ChromeDriver: chrome on windows (cdf0f29412cc5f13f349661091e8844b)] -> xpath: //input[@placeholder='Search products...']]
2025-08-02 09:19:27 INFO  GenericWrapper:181 - Clicked element using JS: [[ChromeDriver: chrome on windows (cdf0f29412cc5f13f349661091e8844b)] -> xpath: //button[normalize-space()='Checkout']]
2025-08-02 09:19:27 INFO  GenericWrapper:116 - Browser closed successfully.
2025-08-02 09:20:28 INFO  LoadProperties:74 - Configuration loaded successfully from: src/main/resources/config.properties
